ID,Student address,Alloted Centre,Distance
1,"GOUTAM PUBLIC HIGH SCHOOL,NO 173, 1ST MAIN ROAD,,KAMALANAGAR,,BENGALURU","ASC Degree College, Bangalore, Karnataka",2.89583324995844
2,"GOVERNMENT HIGH SCHOOL,CHIKKABIDARAKALLU,BENGALURU,","Pvp College, Bangalore, Karnataka",3.734829601947434
3,"INDIAN HIGH SCHOOL,NO.74, IST STAGE, 3RD PHASE,WEST OF CHORD ROAD,MANJUNATHANAGARA ,BENGALURU","Dr. Ambedkar Institute of Technology, Bangalore, Karnataka",0.8603481922466284
4,"DEENA SEVA HIGH SCHOOL,NO 260 KAMALNAGARA,BENGALURU,","Indian Institute of Science, Bangalore, Karnataka",3.3440168410350286
5,"VIJAYA BHARATHI HIGH SCHOOL,,BHUVANESHWARINAGAR, T.DASARAHALLI EXTN.,,BENGALURU NORTH,","Seshadripuram College, Bangalore, Karnataka",3.742150747254053
6,"SCHOENSTATT ST. MARY'S HIGH SCHOOL,,8TH MILE TUMAKURU ROAD,NAGASANDARA POST,,BENGALURU","Ramaiah Institute of Technology, Bangalore, Karnataka",4.208530718907499
7,"ASHWINI HIGH SCHOOL,,T.C.NAGARA PEENYA LAGGERE POST,BENGALURU NORTH,","St. Claret College, Bangalore, Karnataka",4.791371332709963
8,"ARUNODAYA ENG HIGH SCHOOL,SUNKADA KATTE,VISHWANEEDAM POST,BENGALURU","Bangalore University, Bangalore, Karnataka",3.106525218893444
9,"GOVT COMP HIGH SCHOOL,HEGGANAHALLY, VISWANEEDAM POST,BENGALURU NORTH DIST.,,BENGALURU","PES University, Bangalore, Karnataka",4.31813536159586
10,"VISWESWARAIAH HIGH SCHOOL,NO 8 RAJAGOPALNAGAR PEENYA II STAGE,BENGALURU,","National College, Bangalore, Karnataka",3.406938853048589
11,"B N R INTERNATIONAL HIGH SCHOOL,NO.48/50, BABANNA LAYOUT,MALLASANDRA,T DASARAHALLY ,BENGALURU","BMS College, Bangalore, Karnataka",3.7788408877618704
12,"SHREE VIDYAMANYA VIDYAKENDRA,HIGH SCHOOL, VIDYAMANYANAGARA,ANDRAHALLY, VISHWANEEDAM POST,BENGALURU","National Hill View Public School, Bangalore, Karnataka",5.110647031361395
13,"CLUNY CONVENT HIGH SCHOOL,JALAHALLY,BENGALURU NORTH,","Global Academy of Technology, Bangalore , Karnataka ",1.3065439013007683
14,"VIDYASAGAR HIGH SCHOOL,KAMAKSHIPALYA BASAVESWARANAGAR,BENGALURU,","Bishop Cottons, Bangalore, Karnataka",2.2555739155816275
15,"KIRAN ENG HIGH SCHOOL,HEGGANAHALLY,BENGALURU,","St. Josephs, Bangalore, Karnataka",4.5411138922945975
16,"AMARAVANI HIGH SCHOOL,NO.01, 2ND MAIN ROAD,BEML LAYOUT,BENGALURU","Baldwins, Bangalore, Karnataka",1.5255640809789819
17,"VIDYASHREEE HIGH SCHOOL (ENGLISH SCHOOL),ANJANA NAGAR , MAGADI MAIN ROAD,BENGALURU,","Surana College, Bangalore, Karnataka",3.1759912938558053
