ID,Address
1,"PES University, Bangalore, Karnataka"
2,"Global Academy of Technology, Bangalore , Karnataka "
3,"Surana College, Bangalore, Karnataka"
4,"Reva University, Bangalore, Karnataka"
5,"BMS College, Bangalore, Karnataka"
6,"National College, Bangalore, Karnataka"
7,"Pvp College, Bangalore, Karnataka"
8,"SJB College, Bangalore, Karnataka"
9,"Bishop Cottons, Bangalore, Karnataka"
10,"St. Josephs, Bangalore, Karnataka"
11,"St. Mary's College, Bangalore, Karnataka"
12,"New Horizon Public School, Bangalore, Karnataka"
13,"ASC Degree College, Bangalore, Karnataka"
14,"Ramaiah Institute of Technology, Bangalore, Karnataka"
15,"AMC Engineering College, Bangalore, Karnataka"
16,"Garden City University, Bangalore, Karnataka"
17,"CMR University, Bangalore, Karnataka"
18,"RNS Institute of Technology, Bangalore, Karnataka"
19,"Bangalore University, Bangalore, Karnataka"
20,"Dayanand Sagar, Bangalore, Karnataka"
21,"Indian Institute of Science, Bangalore, Karnataka"
22,"Delhi Public School, Bangalore, Karnataka"
23,"Alpine Public School, Bangalore, Karnataka"
24,"Presidency College, Bangalore, Karnataka"
25,"Seshadripuram College, Bangalore, Karnataka"
26,"Acharya Institute of Technology, Bangalore, Karnataka"
27,"National Hill View Public School, Bangalore, Karnataka"
28,"Christ University, Bangalore, Karnataka"
29,"Jain University, Bangalore, Karnataka"
30,"Alliance University, Bangalore, Karnataka"
31,"Visvesvaraya Institute of Technology, Bangalore, Karnataka"
32,"Nitte Meenakshi Institute of Technology, Bangalore, Karnataka"
33,"National Public School,Bangalore, Karnataka"
34,"Dr. Ambedkar Institute of Technology, Bangalore, Karnataka"
35,"Baldwins, Bangalore, Karnataka"
36,"MVJ College of Engineering, Bangalore, Karnataka"
37,"St. Claret College, Bangalore, Karnataka"
38,"Carmel Public School, Bangalore, Karnataka"
39,"Jyothi Nivas, Bangalore, Karnataka"
